"","class","Aging_16S_negative_CTRL_S48_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_100_S51_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_101_S54_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_102_S55_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_103_S69_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_104_S70_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_105_S82_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_106_S83_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_107_S85_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_108_S86_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_109_S87_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_200_S49_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_201_S50_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_202_S52_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_203_S53_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_204_S56_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_205_S65_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_206_S66_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_207_S71_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_208_S72_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_209_S84_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_300_S67_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_301_S68_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_302_S81_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_100_S59_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_101_S62_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_102_S63_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_103_S77_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_104_S78_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_105_S89_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_106_S90_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_107_S92_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_108_S93_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_109_S94_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_200_S57_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_201_S58_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_202_S60_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_203_S61_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_204_S64_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_205_S73_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_206_S74_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_207_S79_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_208_S80_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_209_S91_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_300_S75_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_301_S76_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_302_S88_L001.clean.fasta","Aging_16S_stool1_14_194J_100_S5_L001.clean.fasta","Aging_16S_stool1_14_194J_101_S11_L001.clean.fasta","Aging_16S_stool1_14_194J_102_S13_L001.clean.fasta","Aging_16S_stool1_14_194J_103_S25_L001.clean.fasta","Aging_16S_stool1_14_194J_104_S27_L001.clean.fasta","Aging_16S_stool1_14_194J_105_S35_L001.clean.fasta","Aging_16S_stool1_14_194J_106_S37_L001.clean.fasta","Aging_16S_stool1_14_194J_107_S41_L001.clean.fasta","Aging_16S_stool1_14_194J_108_S43_L001.clean.fasta","Aging_16S_stool1_14_194J_109_S45_L001.clean.fasta","Aging_16S_stool1_14_194J_200_S1_L001.clean.fasta","Aging_16S_stool1_14_194J_201_S3_L001.clean.fasta","Aging_16S_stool1_14_194J_202_S7_L001.clean.fasta","Aging_16S_stool1_14_194J_203_S9_L001.clean.fasta","Aging_16S_stool1_14_194J_204_S15_L001.clean.fasta","Aging_16S_stool1_14_194J_205_S17_L001.clean.fasta","Aging_16S_stool1_14_194J_206_S19_L001.clean.fasta","Aging_16S_stool1_14_194J_207_S29_L001.clean.fasta","Aging_16S_stool1_14_194J_208_S31_L001.clean.fasta","Aging_16S_stool1_14_194J_209_S39_L001.clean.fasta","Aging_16S_stool1_14_194J_300_S21_L001.clean.fasta","Aging_16S_stool1_14_194J_301_S23_L001.clean.fasta","Aging_16S_stool1_14_194J_302_S33_L001.clean.fasta","Aging_16S_stool2_14_194J_100_S6_L001.clean.fasta","Aging_16S_stool2_14_194J_101_S12_L001.clean.fasta","Aging_16S_stool2_14_194J_102_S14_L001.clean.fasta","Aging_16S_stool2_14_194J_103_S26_L001.clean.fasta","Aging_16S_stool2_14_194J_104_S28_L001.clean.fasta","Aging_16S_stool2_14_194J_105_S36_L001.clean.fasta","Aging_16S_stool2_14_194J_106_S38_L001.clean.fasta","Aging_16S_stool2_14_194J_107_S42_L001.clean.fasta","Aging_16S_stool2_14_194J_108_S44_L001.clean.fasta","Aging_16S_stool2_14_194J_109_S46_L001.clean.fasta","Aging_16S_stool2_14_194J_200_S2_L001.clean.fasta","Aging_16S_stool2_14_194J_201_S4_L001.clean.fasta","Aging_16S_stool2_14_194J_202_S8_L001.clean.fasta","Aging_16S_stool2_14_194J_203_S10_L001.clean.fasta","Aging_16S_stool2_14_194J_204_S16_L001.clean.fasta","Aging_16S_stool2_14_194J_205_S18_L001.clean.fasta","Aging_16S_stool2_14_194J_206_S20_L001.clean.fasta","Aging_16S_stool2_14_194J_207_S30_L001.clean.fasta","Aging_16S_stool2_14_194J_208_S32_L001.clean.fasta","Aging_16S_stool2_14_194J_209_S40_L001.clean.fasta","Aging_16S_stool2_14_194J_300_S22_L001.clean.fasta","Aging_16S_stool2_14_194J_301_S24_L001.clean.fasta","Aging_16S_stool2_14_194J_302_S34_L001.clean.fasta","Aging_16S_tongue_dorsum_sample_as_negative_CTRL_S47_L001.clean.fasta","Diaz_16S_Mock_community_Pool1_S95_L001.clean.fasta","Diaz_16S_Mock_community_Pool2_S96_L001.clean.fasta"
"1","Actinobacteria",1,407,242,274,583,589,36,2016,2650,150,2090,782,360,2478,333,1349,359,868,728,1,869,518,2522,4118,652,285,669,889,443,23,581,2599,272,1548,702,131,3062,423,691,322,782,478,1888,942,638,1894,3696,66,165,125,26,116,13,37,10,172,11,0,22,5,15,384,65,154,42,17,186,50,26,53,137,199,225,33,199,17,88,13,198,24,1,26,8,23,85,69,234,46,25,101,129,21,78,0,442,153
"2","Alphaproteobacteria",0,0,1,0,0,0,1,5,0,0,0,6,5,0,0,4,3,0,17,0,0,2,0,17,2,1,1,0,0,0,1,18,0,2,12,1,0,1,4,0,0,8,0,0,5,0,21,0,316,2,1,0,0,395,0,0,1,1,4,1,0,4,0,96,13,4,119,75,2,1,0,410,3,0,0,0,900,0,1,0,0,10,0,0,1,0,172,41,2,61,87,0,0,0,0,0
"3","Bacilli",0,294,361,320,286,855,100,1428,3174,932,3678,1338,604,2473,585,837,575,775,1041,0,1705,777,5737,1380,489,572,873,521,588,53,414,3521,1428,2659,1235,247,3237,797,412,527,650,647,544,1838,881,4429,1307,69,104,54,684,101,142,20,17,188,10,248,242,64,129,72,138,208,48,133,229,58,164,136,116,177,134,581,157,339,57,22,225,39,614,272,77,216,21,164,297,103,272,198,123,99,224,0,4071,1341
"4","Bacteroidia",5,2691,2398,2368,650,6272,3881,1347,3914,2017,7624,1530,1659,4573,553,2172,3076,611,2570,1,6791,4540,7969,1474,4788,3650,5762,1295,4694,2284,414,3555,3245,5895,1506,651,5411,829,1186,2989,474,1617,3597,7260,5522,6298,1437,3669,4787,3013,4653,2365,12016,2692,6817,5228,1676,3638,4187,4568,6111,10469,3904,6092,1426,1199,9418,3050,9779,4719,5671,7970,2237,4037,3508,9642,7500,6374,8811,9658,6356,4686,5540,6836,4196,5588,9887,2151,2010,4064,6100,3842,7444,7,1903,694
"5","Betaproteobacteria",0,546,846,248,19,906,368,787,125,231,1149,234,52,1536,215,8,207,477,4957,3,788,3517,1523,16,896,1289,613,10,732,180,229,82,394,837,227,21,1740,273,3,224,387,3164,466,855,4313,1086,18,39,147,184,105,67,202,56,147,19,24,82,54,5,5,150,154,31,65,165,150,8,192,34,55,245,80,96,120,245,159,136,19,142,125,55,0,2,51,231,73,141,131,61,27,112,40,0,31,18
"6","Chloroplast",0,36,474,5,0,0,1,2,7,0,1,1,3,0,1,0,1,6,11,0,0,4,23,0,90,715,11,0,0,0,0,29,0,0,1,0,0,0,0,0,3,0,0,0,10,15,1,3,0,0,0,0,0,0,0,1,0,1,0,0,0,17,0,0,4,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,5,0,0,0,0,0,0,0,0
"7","Clostridia",5,689,559,1052,216,2165,927,1160,3536,968,3138,1355,1655,1034,566,2160,2543,1030,2598,11,1464,1245,3061,1375,1172,844,2399,446,1685,498,315,3811,1642,2345,1221,678,1267,870,1134,2518,931,1666,505,1545,1494,2423,1263,2121,5396,2185,1676,4026,4196,1639,2804,2135,350,681,3945,1799,840,6981,2559,4230,2201,6211,3341,1617,4784,3199,3476,5881,6225,1409,5624,5876,4321,3110,2813,1619,1213,4335,2264,1036,2023,3489,6861,3749,6506,2483,3687,4656,5053,3,2606,896
"8","Deltaproteobacteria",0,0,0,0,0,0,0,0,21,0,2,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,9,1,4,18,0,54,0,7,28,1,7,4,24,10,21,0,19,3,4,0,7,23,3,4,5,7,15,0,75,0,9,35,40,10,12,18,11,8,4,34,4,9,1,24,13,9,0,0,0
"9","Epsilonproteobacteria",2,1451,449,1081,192,1378,177,906,16,935,957,236,1412,1146,34,612,504,74,1158,3,4579,842,8011,466,2584,637,2662,285,1075,80,233,24,1428,707,225,546,1389,45,332,488,63,747,7299,4840,1109,5910,434,0,0,0,0,0,0,0,1,2,0,1,0,1,0,0,1,2,0,0,2,0,5,0,0,6,0,0,2,4,0,0,4,0,0,1,2,0,1,0,14,1,0,0,3,1,0,1,11,4
"10","Erysipelotrichia",0,85,8,51,48,112,4,34,90,23,80,41,26,37,25,84,46,11,65,0,36,39,85,19,154,17,151,97,92,3,7,76,38,42,34,14,39,28,48,31,9,54,18,38,62,61,22,23,90,8,22,251,97,14,119,116,4,67,124,30,3,108,8,265,86,103,81,73,165,171,47,74,38,22,300,277,50,128,147,66,78,112,35,20,36,10,388,190,88,76,187,414,308,0,0,1
"11","Flavobacteriia",0,47,17,332,3,485,303,228,259,141,580,64,107,127,0,24,141,29,1197,0,650,83,2454,62,89,39,912,4,379,166,58,223,248,418,37,41,166,1,6,148,25,785,33,654,107,2026,58,291,1558,433,112,266,127,77,177,266,125,225,814,289,0,743,236,468,399,566,1426,251,624,286,460,1557,1201,88,315,142,194,181,274,376,624,786,439,0,265,312,785,589,502,731,659,509,466,0,223,87
"12","Fusobacteriia",0,253,240,557,26,2412,870,734,25,396,2802,624,479,1944,155,152,1099,107,4103,0,2262,345,1290,275,412,400,1300,81,1837,457,210,82,638,1949,624,222,2568,250,83,1153,76,2937,110,2409,408,1190,277,0,45,8,0,5,0,0,1,1,0,1362,65,307,1,95,4,18,1,1,9,4,62,13,2,65,1,0,10,1,1,1,0,0,1117,86,343,2,33,6,26,2,0,18,6,29,10,0,322,109
"13","Gammaproteobacteria",0,479,1358,1046,75,2068,819,1873,24,197,1180,410,52,5414,115,144,642,1485,1275,2,753,1278,379,476,793,2113,2564,129,1677,442,559,42,288,885,421,23,6462,213,87,657,1616,913,460,802,1929,332,433,2,7,9,7,119,376,9,43,3,4,1,76,87,26,99,31,27,3,40,22,3,5,66,5,23,27,11,153,525,23,85,7,73,26,84,66,19,33,41,46,12,39,18,16,14,84,0,4000,1123
"14","Lentisphaeria",0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,6,4,4,7,9,2,0,17,0,0,0,0,0,17,0,19,0,8,14,11,16,4,7,7,14,3,10,12,4,0,34,0,0,0,0,0,8,0,49,5,7,3,18,10,10,0,0,0
