"","order","Aging_16S_negative_CTRL_S48_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_100_S51_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_101_S54_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_102_S55_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_103_S69_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_104_S70_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_105_S82_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_106_S83_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_107_S85_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_108_S86_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_109_S87_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_200_S49_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_201_S50_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_202_S52_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_203_S53_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_204_S56_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_205_S65_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_206_S66_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_207_S71_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_208_S72_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_209_S84_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_300_S67_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_301_S68_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_302_S81_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_100_S59_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_101_S62_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_102_S63_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_103_S77_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_104_S78_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_105_S89_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_106_S90_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_107_S92_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_108_S93_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_109_S94_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_200_S57_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_201_S58_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_202_S60_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_203_S61_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_204_S64_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_205_S73_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_206_S74_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_207_S79_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_208_S80_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_209_S91_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_300_S75_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_301_S76_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_302_S88_L001.clean.fasta","Aging_16S_stool1_14_194J_100_S5_L001.clean.fasta","Aging_16S_stool1_14_194J_101_S11_L001.clean.fasta","Aging_16S_stool1_14_194J_102_S13_L001.clean.fasta","Aging_16S_stool1_14_194J_103_S25_L001.clean.fasta","Aging_16S_stool1_14_194J_104_S27_L001.clean.fasta","Aging_16S_stool1_14_194J_105_S35_L001.clean.fasta","Aging_16S_stool1_14_194J_106_S37_L001.clean.fasta","Aging_16S_stool1_14_194J_107_S41_L001.clean.fasta","Aging_16S_stool1_14_194J_108_S43_L001.clean.fasta","Aging_16S_stool1_14_194J_109_S45_L001.clean.fasta","Aging_16S_stool1_14_194J_200_S1_L001.clean.fasta","Aging_16S_stool1_14_194J_201_S3_L001.clean.fasta","Aging_16S_stool1_14_194J_202_S7_L001.clean.fasta","Aging_16S_stool1_14_194J_203_S9_L001.clean.fasta","Aging_16S_stool1_14_194J_204_S15_L001.clean.fasta","Aging_16S_stool1_14_194J_205_S17_L001.clean.fasta","Aging_16S_stool1_14_194J_206_S19_L001.clean.fasta","Aging_16S_stool1_14_194J_207_S29_L001.clean.fasta","Aging_16S_stool1_14_194J_208_S31_L001.clean.fasta","Aging_16S_stool1_14_194J_209_S39_L001.clean.fasta","Aging_16S_stool1_14_194J_300_S21_L001.clean.fasta","Aging_16S_stool1_14_194J_301_S23_L001.clean.fasta","Aging_16S_stool1_14_194J_302_S33_L001.clean.fasta","Aging_16S_stool2_14_194J_100_S6_L001.clean.fasta","Aging_16S_stool2_14_194J_101_S12_L001.clean.fasta","Aging_16S_stool2_14_194J_102_S14_L001.clean.fasta","Aging_16S_stool2_14_194J_103_S26_L001.clean.fasta","Aging_16S_stool2_14_194J_104_S28_L001.clean.fasta","Aging_16S_stool2_14_194J_105_S36_L001.clean.fasta","Aging_16S_stool2_14_194J_106_S38_L001.clean.fasta","Aging_16S_stool2_14_194J_107_S42_L001.clean.fasta","Aging_16S_stool2_14_194J_108_S44_L001.clean.fasta","Aging_16S_stool2_14_194J_109_S46_L001.clean.fasta","Aging_16S_stool2_14_194J_200_S2_L001.clean.fasta","Aging_16S_stool2_14_194J_201_S4_L001.clean.fasta","Aging_16S_stool2_14_194J_202_S8_L001.clean.fasta","Aging_16S_stool2_14_194J_203_S10_L001.clean.fasta","Aging_16S_stool2_14_194J_204_S16_L001.clean.fasta","Aging_16S_stool2_14_194J_205_S18_L001.clean.fasta","Aging_16S_stool2_14_194J_206_S20_L001.clean.fasta","Aging_16S_stool2_14_194J_207_S30_L001.clean.fasta","Aging_16S_stool2_14_194J_208_S32_L001.clean.fasta","Aging_16S_stool2_14_194J_209_S40_L001.clean.fasta","Aging_16S_stool2_14_194J_300_S22_L001.clean.fasta","Aging_16S_stool2_14_194J_301_S24_L001.clean.fasta","Aging_16S_stool2_14_194J_302_S34_L001.clean.fasta","Aging_16S_tongue_dorsum_sample_as_negative_CTRL_S47_L001.clean.fasta","Diaz_16S_Mock_community_Pool1_S95_L001.clean.fasta","Diaz_16S_Mock_community_Pool2_S96_L001.clean.fasta"
"1","Actinomycetales",1,327,209,116,138,409,24,1967,2607,105,1893,758,314,2439,302,1033,295,861,683,1,786,472,2369,4102,555,226,318,197,342,16,566,2523,167,1397,678,116,3017,393,517,258,776,464,1849,860,585,1780,3684,66,151,124,24,115,0,35,4,8,11,0,22,1,14,265,61,99,26,17,185,39,26,35,136,179,225,33,196,0,86,5,1,24,0,24,5,15,47,60,158,31,24,100,91,21,45,0,442,153
"2","Bacillales",0,21,23,18,5,123,24,199,56,73,214,87,25,470,97,9,87,80,277,0,94,19,508,97,34,28,70,20,81,8,52,26,113,157,83,9,533,110,2,71,79,157,4,87,22,403,79,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,5,0,0,1,3,0,0,1730,534
"3","Bacteroidales",5,2691,2398,2368,650,6272,3881,1347,3914,2017,7624,1530,1659,4573,553,2172,3076,611,2570,1,6791,4540,7969,1474,4788,3650,5762,1295,4694,2284,414,3555,3245,5895,1506,651,5411,829,1186,2989,474,1617,3597,7260,5522,6298,1437,3669,4787,3013,4653,2365,12016,2692,6817,5228,1676,3638,4187,4568,6111,10469,3904,6092,1426,1199,9418,3050,9779,4719,5671,7970,2237,4037,3508,9642,7500,6374,8811,9658,6356,4686,5540,6836,4196,5588,9887,2151,2010,4064,6100,3842,7444,7,1903,694
"4","Bifidobacteriales",0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,3,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","Burkholderiales",0,9,96,47,0,1,4,36,89,57,586,0,11,0,0,2,4,285,874,1,34,365,645,3,23,113,133,0,1,1,12,81,102,384,1,7,2,0,0,9,228,543,393,28,438,442,0,39,143,184,105,66,201,54,141,12,24,82,54,1,1,135,154,23,30,163,149,7,191,25,54,242,75,96,117,238,156,131,8,142,125,52,0,0,49,229,57,57,130,58,19,111,33,0,31,18
"6","Campylobacterales",2,1451,449,1081,192,1378,177,906,16,935,957,236,1412,1146,34,612,504,74,1158,3,4579,842,8011,466,2584,637,2662,285,1075,80,233,24,1428,707,225,546,1389,45,332,488,63,747,7299,4840,1109,5910,434,0,0,0,0,0,0,0,1,2,0,1,0,1,0,0,1,2,0,0,2,0,5,0,0,6,0,0,2,4,0,0,4,0,0,1,2,0,1,0,14,1,0,0,3,1,0,1,11,4
"7","Cardiobacteriales",0,2,0,16,0,9,23,10,17,13,87,4,2,0,0,0,32,0,42,0,0,6,21,1,3,2,45,0,6,9,4,0,24,51,7,1,0,0,0,33,0,21,3,0,12,23,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"8","Caulobacterales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"9","Clostridiales",5,689,559,1049,216,2165,926,1160,3536,964,3130,1354,1655,1026,566,2158,2517,1030,2586,11,1464,1245,3060,1375,1170,844,2391,446,1685,498,315,3811,1634,2338,1221,678,1257,870,1132,2488,931,1664,505,1545,1494,2423,1263,2121,5396,2185,1676,4026,4196,1639,2804,2135,350,681,3945,1799,840,6743,2559,4230,2201,6210,3341,1617,4783,3199,3476,5881,6225,1409,5624,5876,4321,3110,2812,1619,1213,4335,2264,1036,1993,3489,6860,3749,6506,2483,3687,4656,5053,3,2589,887
"10","Coriobacteriales",0,80,33,158,445,180,12,49,43,45,189,24,45,39,31,313,64,7,45,0,83,46,147,15,97,59,351,692,101,7,15,76,105,149,24,15,45,30,173,64,6,14,39,82,53,108,12,0,14,1,2,1,13,2,6,164,0,0,0,4,1,119,4,55,16,0,1,11,0,18,1,20,0,0,3,17,2,8,197,0,0,2,3,8,38,9,76,15,1,1,38,0,33,0,0,0
"11","Desulfovibrionales",0,0,0,0,0,0,0,0,21,0,2,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,9,1,4,18,0,54,0,7,28,1,7,4,24,10,21,0,19,3,4,0,7,23,3,4,5,7,15,0,75,0,9,35,40,10,12,18,11,8,4,34,4,9,1,24,13,9,0,0,0
"12","Enterobacteriales",0,1,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,5,3,0,0,0,1,0,0,0,0,0,0,332,0,10,0,2,0,61,78,0,0,1,2,1,1,0,0,0,8,0,0,0,0,2,423,1,20,0,37,12,72,54,6,0,0,0,4,0,4,0,8,12,0,3125,836
"13","Erysipelotrichales",0,85,8,51,48,112,4,34,90,23,80,41,26,37,25,84,46,11,65,0,36,39,85,19,154,17,151,97,92,3,7,76,38,42,34,14,39,28,48,31,9,54,18,38,62,61,22,23,90,8,22,251,97,14,119,116,4,67,124,30,3,108,8,265,86,103,81,73,165,171,47,74,38,22,300,277,50,128,147,66,78,112,35,20,36,10,388,190,88,76,187,414,308,0,0,1
"14","Flavobacteriales",0,47,17,332,3,485,303,228,259,141,580,64,107,127,0,24,141,29,1197,0,650,83,2454,62,89,39,912,4,379,166,58,223,248,418,37,41,166,1,6,148,25,785,33,654,107,2026,58,291,1558,433,112,266,127,77,177,266,125,225,814,289,0,743,236,468,399,566,1426,251,624,286,460,1557,1201,88,315,142,194,181,274,376,624,786,439,0,265,312,785,589,502,731,659,509,466,0,223,87
