"","genus","Aging_16S_negative_CTRL_S48_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_100_S51_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_101_S54_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_102_S55_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_103_S69_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_104_S70_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_105_S82_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_106_S83_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_107_S85_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_108_S86_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_109_S87_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_200_S49_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_201_S50_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_202_S52_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_203_S53_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_204_S56_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_205_S65_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_206_S66_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_207_S71_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_208_S72_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_209_S84_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_300_S67_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_301_S68_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_302_S81_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_100_S59_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_101_S62_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_102_S63_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_103_S77_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_104_S78_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_105_S89_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_106_S90_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_107_S92_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_108_S93_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_109_S94_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_200_S57_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_201_S58_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_202_S60_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_203_S61_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_204_S64_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_205_S73_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_206_S74_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_207_S79_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_208_S80_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_209_S91_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_300_S75_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_301_S76_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_302_S88_L001.clean.fasta","Aging_16S_stool1_14_194J_100_S5_L001.clean.fasta","Aging_16S_stool1_14_194J_101_S11_L001.clean.fasta","Aging_16S_stool1_14_194J_102_S13_L001.clean.fasta","Aging_16S_stool1_14_194J_103_S25_L001.clean.fasta","Aging_16S_stool1_14_194J_104_S27_L001.clean.fasta","Aging_16S_stool1_14_194J_105_S35_L001.clean.fasta","Aging_16S_stool1_14_194J_106_S37_L001.clean.fasta","Aging_16S_stool1_14_194J_107_S41_L001.clean.fasta","Aging_16S_stool1_14_194J_108_S43_L001.clean.fasta","Aging_16S_stool1_14_194J_109_S45_L001.clean.fasta","Aging_16S_stool1_14_194J_200_S1_L001.clean.fasta","Aging_16S_stool1_14_194J_201_S3_L001.clean.fasta","Aging_16S_stool1_14_194J_202_S7_L001.clean.fasta","Aging_16S_stool1_14_194J_203_S9_L001.clean.fasta","Aging_16S_stool1_14_194J_204_S15_L001.clean.fasta","Aging_16S_stool1_14_194J_205_S17_L001.clean.fasta","Aging_16S_stool1_14_194J_206_S19_L001.clean.fasta","Aging_16S_stool1_14_194J_207_S29_L001.clean.fasta","Aging_16S_stool1_14_194J_208_S31_L001.clean.fasta","Aging_16S_stool1_14_194J_209_S39_L001.clean.fasta","Aging_16S_stool1_14_194J_300_S21_L001.clean.fasta","Aging_16S_stool1_14_194J_301_S23_L001.clean.fasta","Aging_16S_stool1_14_194J_302_S33_L001.clean.fasta","Aging_16S_stool2_14_194J_100_S6_L001.clean.fasta","Aging_16S_stool2_14_194J_101_S12_L001.clean.fasta","Aging_16S_stool2_14_194J_102_S14_L001.clean.fasta","Aging_16S_stool2_14_194J_103_S26_L001.clean.fasta","Aging_16S_stool2_14_194J_104_S28_L001.clean.fasta","Aging_16S_stool2_14_194J_105_S36_L001.clean.fasta","Aging_16S_stool2_14_194J_106_S38_L001.clean.fasta","Aging_16S_stool2_14_194J_107_S42_L001.clean.fasta","Aging_16S_stool2_14_194J_108_S44_L001.clean.fasta","Aging_16S_stool2_14_194J_109_S46_L001.clean.fasta","Aging_16S_stool2_14_194J_200_S2_L001.clean.fasta","Aging_16S_stool2_14_194J_201_S4_L001.clean.fasta","Aging_16S_stool2_14_194J_202_S8_L001.clean.fasta","Aging_16S_stool2_14_194J_203_S10_L001.clean.fasta","Aging_16S_stool2_14_194J_204_S16_L001.clean.fasta","Aging_16S_stool2_14_194J_205_S18_L001.clean.fasta","Aging_16S_stool2_14_194J_206_S20_L001.clean.fasta","Aging_16S_stool2_14_194J_207_S30_L001.clean.fasta","Aging_16S_stool2_14_194J_208_S32_L001.clean.fasta","Aging_16S_stool2_14_194J_209_S40_L001.clean.fasta","Aging_16S_stool2_14_194J_300_S22_L001.clean.fasta","Aging_16S_stool2_14_194J_301_S24_L001.clean.fasta","Aging_16S_stool2_14_194J_302_S34_L001.clean.fasta","Aging_16S_tongue_dorsum_sample_as_negative_CTRL_S47_L001.clean.fasta","Diaz_16S_Mock_community_Pool1_S95_L001.clean.fasta","Diaz_16S_Mock_community_Pool2_S96_L001.clean.fasta"
"1","Abiotrophia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00410992021919575,0,0,0.0012081134354931,0.002029145914038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00404757145712572,0,0,0.00193423597678917,0.00276481769483325,0,0,0,0,0
"2","Acetanaerobacterium",0,0,0.000117439812096301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000402933354823112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000749550269838097,0,0,0,0.000259201658890617,0,0,0,0,0
"3","Acetivibrio",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000442722744881018,0.000112637981527371,0,0.00029219830524983,0,0,0.000155038759689922,0.000307566126717244,0.000134661998384056,0,4.95687518588282e-05,0,0,0,0.000110791048083315,0,0.000184467810367091,6.01612321020335e-05,0.000109649122807018,0,0,0,0.000152508769254232,0.000541669890892208,5.62461330783509e-05,7.3308408474452e-05,0.000491400491400491,0.000196463654223969,0,0.000383987712393203,0.000560014933731566,0,0.000112943302462164,0,0,4.99700179892065e-05,0,9.90785693054592e-05,0,0,0.000194174757281553,0,0,0,0
"4","Acidaminococcus",0,0,0,0,0,0,0,0,0.00320753429331877,0.000119617224880383,3.5988051966747e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000863156496912556,0,9.69508943720006e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000314613811546327,0,0,0,0,0,0,0,0.00314784727863526,0,0,0.00789419725240927,0.0131968758416375,0,0,0,0,0,0,0,0,0,0,0.000394944707740916,0,0,0,0,0,0,0,0.00170268500327439,0,0,0.00784020907224193,0.0113261491093028,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","Acinetobacter",0,0,0,0,0,0,0,0,0,0,3.5988051966747e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000597569882477923,0,0,0.000130327121073895,0,0,0,0,8.08146112817197e-05,0,0,0,0,0,0,0,0,0,0.000163988192850115,0.000395673964653126,0.000332042058660764,0,0,0,0,0.000423370025402202,0,0.000102522042239081,0.00067330999192028,0.000681384573453257,0,0,0.000241760012893867,0,0,0.000127169835315063,0,6.01612321020335e-05,0,0.000296208530805687,0,0.0003870343492985,0.000152508769254232,7.73814129846011e-05,0,0.000146616816948904,9.82800982800983e-05,0,0.000213675213675214,0.000671978496688106,9.33358222885944e-05,0.000219925225423356,0.000451773209848656,0.000141342756183746,0,0.000149910053967619,0.000134318334452653,0.000297235707916378,0.000113778586869951,0.000172801105927078,9.70873786407767e-05,0,0,0,0
"6","Actinomyces",0,0.0263252794807068,0.0180857310628303,0.00765071916760175,0.0335766423357665,0.00895996916999856,0.000397653842330252,0.0486060898208404,0.00204736231488432,0.00813397129186603,0.0371036815777162,0.0157100445324097,0.00639720849084036,0.00409082551939695,0.0630659767141009,0.0492503559762124,0.0112790788752252,0.00332658374312988,0.00477459471463469,0,0.013379388745573,0.00706331530384983,0.0183001982744762,0.0146153846153846,0.0230626673072963,0.0123122192968871,0.00757638831071518,0.0255945183393793,0.0106887609891847,0.00088339222614841,0.0488700564971751,0.00239027952991169,0.00783582089552239,0.0362111590479422,0.0170728528606803,0.00626450116009281,0.00361868144294922,0.0503075571177504,0.0450581395348837,0.0116373040245676,0.00394695295232081,0.00361070080420154,0.00920643153526971,0.0137190082644628,0.00707510894642399,0.016780609073959,0.0142635658914729,0.000786534528865817,0.00572998430141287,0.000655952771400459,0,0,0,0.000197355437142293,0,0,0,0,0.000717654295673569,0,0,0,0.000828500414250207,0.00032234668385849,0,0,0,0.000184467810367091,0.000120322464204067,0,0.00128357030015798,0.0057258737921985,0.000967585873246251,0,0.000154762825969202,0,0,0,0,0,0,0.000373343289154377,0.000109962612711678,0,0,0.00138545274616526,4.99700179892065e-05,0,0,0,8.6400552963539e-05,0,0,0,0.0045417781372488,0.00618118601506664
"7","Aggregatibacter",0,0.00601033778098329,0.0308866705813271,0.00724268081199633,0.000364963503649635,0.000192687509032227,0.00308181727805945,0.00361532899493854,0,0.00478468899521532,0.0012235937668694,0.00086590796635329,0.000872346612387322,0.00225225225225225,0.00161707632600259,8.37591088030823e-05,0.00234980809900525,0,0.0112517580872012,0,0.000699575882121464,0.00044543429844098,0.000723433899576657,9.61538461538462e-05,0.00453016679250463,0.0324454080842497,0.00753475980351344,0,0.00018974131933464,0.00229681978798586,0.00423728813559322,0,0.0032089552238806,0.000775607154976005,0.000651635605369477,0.000464037122969838,0.00260092728711976,0.00263620386643234,0.000322997416020672,0.00218199450460643,0,0.0128562831664752,0,0.000991735537190083,0.000307613432453217,0.000414336026517506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.96445186687343e-05,9.67585873246251e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","Akkermansia",0.133333333333333,0.000240413511239332,0,0,0.000364963503649635,0,0,0,0.0338497236060875,0.00167464114832536,0.00125958181883615,0,0,0,0,0,0.000156653873267017,0.000144634075788256,0.00037012362128951,0,0.000131170477897774,6.36334712058543e-05,2.67938481324688e-05,0,6.86388907955247e-05,7.7435341489856e-05,0,0,0,0,0,0.0408339419693247,0.00082089552238806,0.00126036162683601,0,0.000464037122969838,0,0,0.000161498708010336,0.000323258445126878,0.000315756236185665,5.47075879424476e-05,0,4.13223140495868e-05,0,3.45280022097921e-05,0,0,0.00133437990580848,0.00360774024270253,0.00619889211289897,0.15672385168788,0,0.010065127294257,0,0.127335499593826,0.0317527519051651,0,0,0,0.014445352957209,9.91375037176564e-05,0.000552333609500138,0.0298976549278749,0.0225245316681534,0.0300243740305783,0.0295034017930947,0.00959232613908873,0.0218986884851402,0.0327850877192982,0,0.000596445186687343,0.001548137397194,0.0038127192313558,0.156078309989941,0,0.0102631771864233,0,0.137524557956778,0.113603988603989,0,9.33358222885944e-05,0,0.0621188163541902,0.000282685512367491,0.00158337456704602,0.0232860283829702,0.0316991269308261,0.0266521351431685,0.0896575264535214,0.0132192846034215,0.0242718446601942,0.0172632468996618,0,0.127294220120699,0.116283561908441
"9","Alistipes",0,0.00961654044957327,0.00434527304756312,0.00795674793430583,0.0171532846715329,0.00900814104725661,0.00169002882990357,0.00506146059291396,0.0279806183034191,0.0106459330143541,0.0169863605283046,0.00482434438396833,0.00717262770185131,0.00514800514800515,0.0113195342820181,0.016333026216601,0.0067361165504817,0.00245877928840034,0.00177659338218965,0,0.00572777753486949,0.00139993636652879,0.0383152028294303,0.0201923076923077,0.00844258356784955,0.00410407309896237,0.00836732994754808,0.0219669488109634,0.0086016064765037,0.00176678445229682,0.00225988700564971,0.0243675718743776,0.0114925373134328,0.0171118328566581,0.00599504756939919,0.00603248259860789,0.00603113573824871,0.0129613356766256,0.0159883720930232,0.00589946662356554,0.00315756236185664,0.00169593522621588,0.00149118257261411,0.0062396694214876,0.00138426044603948,0.0394309785235827,0.0216020671834625,0.168318389177285,0.0173469387755102,0.0313217448343719,0.000131891321551042,0,0.0287790042802433,0.0282218275113479,0.0389597740333106,0.0645816409423232,0.0491109229466554,0.000310077519379845,0.0122001230264507,0.129679504443846,0.0208503679476697,0.0425299890948746,0.00911350455675228,0.0208719477798372,0.112176628010705,0.00653667183691558,0.0785273733070515,0.0236118797269876,0.0511370472867284,0.0283991228070176,0.142673775671407,0.0176547775259454,0.00686985970004839,0,0,0.0425783227403116,0.0293966717982553,0.0382309582309582,0.0481990831696136,0.0622507122507122,0.000575981568589805,0.0143737166324435,0.118209808665054,0.0358030268805059,0.018939929328622,0.0106877783275606,0.0253347991205276,0.100873069173942,0.0211037352620628,0.0662191375583115,0.0176257128045619,0.0231067961165049,0.028325817361894,0.0769230769230769,0,0
"10","Alloprevotella",0,0.0300516889049165,0.0333529066353494,0.010302968479037,0.0145985401459854,0.0171010164266101,0.121582662292474,0.00441873543825822,0.000955435746946018,0.0154306220095694,0.0261633137798251,0.0148441365660564,0.00649413589221673,0.00174664460378746,0.00711513583441138,0.00343412346092638,0.0236547348633195,0,0.00595899030276112,0,0.00227362161689476,0.0158447343302577,0.000187556936927281,0.00625,0.0308188619671906,0.0326777141087192,0.0121555241029057,0.0157194679564692,0.016381000569224,0.133922261484099,0.00451977401129944,0.000929553150521214,0.0162686567164179,0.0269523486354161,0.0185064511924932,0.00672853828306264,0.00120622714764974,0.00966608084358524,0.00242248062015504,0.0232746080491353,0.000157878118092832,0.00618195743749658,6.48340248962656e-05,0.00392561983471074,0.0161497052037939,0.000138112008839169,0.00578811369509044,0,0,0,0,0,0,0.000197355437142293,0,0.000203086921202275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000392927308447937,0,0,0,0,0.000112943302462164,0,0.000395843641761504,0,0,0,0,0,0,0,0,6.22161388664219e-05,0.000193162062970833
