,phylum,Aging_16S_negative_CTRL_S48_L001.clean.fasta,Aging_16S_saliva_rep1_14_194J_100_S51_L001.clean.fasta,Aging_16S_saliva_rep1_14_194J_101_S54_L001.clean.fasta,Aging_16S_saliva_rep1_14_194J_102_S55_L001.clean.fasta,Aging_16S_saliva_rep1_14_194J_103_S69_L001.clean.fasta,Aging_16S_saliva_rep1_14_194J_104_S70_L001.clean.fasta,Aging_16S_saliva_rep1_14_194J_105_S82_L001.clean.fasta,Aging_16S_saliva_rep1_14_194J_106_S83_L001.clean.fasta,Aging_16S_saliva_rep1_14_194J_107_S85_L001.clean.fasta,Aging_16S_saliva_rep1_14_194J_108_S86_L001.clean.fasta,Aging_16S_saliva_rep1_14_194J_109_S87_L001.clean.fasta,Aging_16S_saliva_rep1_14_194J_200_S49_L001.clean.fasta,Aging_16S_saliva_rep1_14_194J_201_S50_L001.clean.fasta,Aging_16S_saliva_rep1_14_194J_202_S52_L001.clean.fasta,Aging_16S_saliva_rep1_14_194J_203_S53_L001.clean.fasta,Aging_16S_saliva_rep1_14_194J_204_S56_L001.clean.fasta,Aging_16S_saliva_rep1_14_194J_205_S65_L001.clean.fasta,Aging_16S_saliva_rep1_14_194J_206_S66_L001.clean.fasta,Aging_16S_saliva_rep1_14_194J_207_S71_L001.clean.fasta,Aging_16S_saliva_rep1_14_194J_208_S72_L001.clean.fasta,Aging_16S_saliva_rep1_14_194J_209_S84_L001.clean.fasta,Aging_16S_saliva_rep1_14_194J_300_S67_L001.clean.fasta,Aging_16S_saliva_rep1_14_194J_301_S68_L001.clean.fasta,Aging_16S_saliva_rep1_14_194J_302_S81_L001.clean.fasta,Aging_16S_saliva_rep2_14_194J_100_S59_L001.clean.fasta,Aging_16S_saliva_rep2_14_194J_101_S62_L001.clean.fasta,Aging_16S_saliva_rep2_14_194J_102_S63_L001.clean.fasta,Aging_16S_saliva_rep2_14_194J_103_S77_L001.clean.fasta,Aging_16S_saliva_rep2_14_194J_104_S78_L001.clean.fasta,Aging_16S_saliva_rep2_14_194J_105_S89_L001.clean.fasta,Aging_16S_saliva_rep2_14_194J_106_S90_L001.clean.fasta,Aging_16S_saliva_rep2_14_194J_107_S92_L001.clean.fasta,Aging_16S_saliva_rep2_14_194J_108_S93_L001.clean.fasta,Aging_16S_saliva_rep2_14_194J_109_S94_L001.clean.fasta,Aging_16S_saliva_rep2_14_194J_200_S57_L001.clean.fasta,Aging_16S_saliva_rep2_14_194J_201_S58_L001.clean.fasta,Aging_16S_saliva_rep2_14_194J_202_S60_L001.clean.fasta,Aging_16S_saliva_rep2_14_194J_203_S61_L001.clean.fasta,Aging_16S_saliva_rep2_14_194J_204_S64_L001.clean.fasta,Aging_16S_saliva_rep2_14_194J_205_S73_L001.clean.fasta,Aging_16S_saliva_rep2_14_194J_206_S74_L001.clean.fasta,Aging_16S_saliva_rep2_14_194J_207_S79_L001.clean.fasta,Aging_16S_saliva_rep2_14_194J_208_S80_L001.clean.fasta,Aging_16S_saliva_rep2_14_194J_209_S91_L001.clean.fasta,Aging_16S_saliva_rep2_14_194J_300_S75_L001.clean.fasta,Aging_16S_saliva_rep2_14_194J_301_S76_L001.clean.fasta,Aging_16S_saliva_rep2_14_194J_302_S88_L001.clean.fasta,Aging_16S_stool1_14_194J_100_S5_L001.clean.fasta,Aging_16S_stool1_14_194J_101_S11_L001.clean.fasta,Aging_16S_stool1_14_194J_102_S13_L001.clean.fasta,Aging_16S_stool1_14_194J_103_S25_L001.clean.fasta,Aging_16S_stool1_14_194J_104_S27_L001.clean.fasta,Aging_16S_stool1_14_194J_105_S35_L001.clean.fasta,Aging_16S_stool1_14_194J_106_S37_L001.clean.fasta,Aging_16S_stool1_14_194J_107_S41_L001.clean.fasta,Aging_16S_stool1_14_194J_108_S43_L001.clean.fasta,Aging_16S_stool1_14_194J_109_S45_L001.clean.fasta,Aging_16S_stool1_14_194J_200_S1_L001.clean.fasta,Aging_16S_stool1_14_194J_201_S3_L001.clean.fasta,Aging_16S_stool1_14_194J_202_S7_L001.clean.fasta,Aging_16S_stool1_14_194J_203_S9_L001.clean.fasta,Aging_16S_stool1_14_194J_204_S15_L001.clean.fasta,Aging_16S_stool1_14_194J_205_S17_L001.clean.fasta,Aging_16S_stool1_14_194J_206_S19_L001.clean.fasta,Aging_16S_stool1_14_194J_207_S29_L001.clean.fasta,Aging_16S_stool1_14_194J_208_S31_L001.clean.fasta,Aging_16S_stool1_14_194J_209_S39_L001.clean.fasta,Aging_16S_stool1_14_194J_300_S21_L001.clean.fasta,Aging_16S_stool1_14_194J_301_S23_L001.clean.fasta,Aging_16S_stool1_14_194J_302_S33_L001.clean.fasta,Aging_16S_stool2_14_194J_100_S6_L001.clean.fasta,Aging_16S_stool2_14_194J_101_S12_L001.clean.fasta,Aging_16S_stool2_14_194J_102_S14_L001.clean.fasta,Aging_16S_stool2_14_194J_103_S26_L001.clean.fasta,Aging_16S_stool2_14_194J_104_S28_L001.clean.fasta,Aging_16S_stool2_14_194J_105_S36_L001.clean.fasta,Aging_16S_stool2_14_194J_106_S38_L001.clean.fasta,Aging_16S_stool2_14_194J_107_S42_L001.clean.fasta,Aging_16S_stool2_14_194J_108_S44_L001.clean.fasta,Aging_16S_stool2_14_194J_109_S46_L001.clean.fasta,Aging_16S_stool2_14_194J_200_S2_L001.clean.fasta,Aging_16S_stool2_14_194J_201_S4_L001.clean.fasta,Aging_16S_stool2_14_194J_202_S8_L001.clean.fasta,Aging_16S_stool2_14_194J_203_S10_L001.clean.fasta,Aging_16S_stool2_14_194J_204_S16_L001.clean.fasta,Aging_16S_stool2_14_194J_205_S18_L001.clean.fasta,Aging_16S_stool2_14_194J_206_S20_L001.clean.fasta,Aging_16S_stool2_14_194J_207_S30_L001.clean.fasta,Aging_16S_stool2_14_194J_208_S32_L001.clean.fasta,Aging_16S_stool2_14_194J_209_S40_L001.clean.fasta,Aging_16S_stool2_14_194J_300_S22_L001.clean.fasta,Aging_16S_stool2_14_194J_301_S24_L001.clean.fasta,Aging_16S_stool2_14_194J_302_S34_L001.clean.fasta,Aging_16S_tongue_dorsum_sample_as_negative_CTRL_S47_L001.clean.fasta,Diaz_16S_Mock_community_Pool1_S95_L001.clean.fasta,Diaz_16S_Mock_community_Pool2_S96_L001.clean.fasta
1,Actinobacteria,0.066666667,0.04892415,0.028420435,0.027950627,0.212773723,0.028373236,0.003578885,0.161966739,0.180850338,0.017942584,0.075215029,0.09673429,0.034893864,0.113899614,0.107697283,0.112991038,0.02811937,0.125542378,0.026945,0.038461538,0.037995715,0.032962138,0.067574085,0.395961538,0.044752557,0.022069072,0.027849471,0.179161628,0.028018468,0.004063604,0.164124294,0.172564903,0.020298507,0.075039992,0.091489639,0.030394432,0.11542086,0.092926186,0.111595607,0.026022305,0.123460688,0.026150227,0.122406639,0.03892562,0.032709562,0.065396036,0.382015504,0.010382256,0.012951334,0.020498524,0.003429174,0.01283896,0.000732147,0.007302151,0.000973994,0.017465475,0.00465707,0,0.002255485,0.00067331,0.002044154,0.019034401,0.008975421,0.012410347,0.009366637,0.001883448,0.011826795,0.009223391,0.001564192,0.005811404,0.013526856,0.011869259,0.021770682,0.005032789,0.015398901,0.000956184,0.00645114,0.001277641,0.012966601,0.001709402,9.60E-05,0.002426731,0.000879701,0.002597696,0.012014134,0.006828303,0.011692984,0.006178643,0.002476964,0.011491637,0.011145671,0.002038835,0.005496054,0,0.027499533,0.029553796
2,Bacteroidetes,0.333333333,0.329126097,0.283617146,0.2755279,0.238321168,0.325497375,0.415945919,0.126536515,0.284788098,0.258133971,0.295245978,0.197179614,0.171173791,0.216032359,0.178848642,0.183935003,0.251977755,0.092565809,0.139573618,0.038461538,0.325346509,0.294177537,0.279272279,0.147692308,0.33475187,0.285658975,0.277953543,0.261789601,0.320852571,0.432862191,0.133333333,0.251244937,0.260671642,0.306073974,0.201094748,0.160556845,0.210222775,0.182337434,0.19250646,0.253757879,0.078939059,0.131571749,0.23534751,0.327024793,0.288592669,0.28741109,0.154521964,0.622935347,0.498037677,0.565103313,0.628462147,0.291532928,0.683881505,0.546477205,0.681211649,0.558285946,0.763759526,0.599069767,0.515173262,0.654053326,0.832788226,0.555814415,0.571665286,0.528729148,0.407002676,0.195656991,0.689514847,0.608928242,0.625857298,0.54879386,0.605351501,0.568233329,0.332656023,0.629098673,0.29629343,0.550312166,0.564328128,0.644226044,0.595219384,0.715740741,0.671594509,0.514280381,0.657466461,0.772080416,0.630530035,0.583869372,0.533280032,0.368032236,0.248885366,0.545682103,0.583981337,0.422427184,0.557356257,0.538461538,0.132271511,0.150859571
3,Candidatus Saccharibacteria,0,0.102656569,0.058954786,0.104355809,0.003284672,0.033575798,0.110150114,0.076966337,0.004231215,0.064593301,0.106704574,0.092652152,0.299117961,0,0.089909444,0.189295586,0.10738623,0.000144634,0.09589903,0,0.052643085,0.055042953,0.03676116,0.006057692,0.111263642,0.061096484,0.107235035,0.003829101,0.032951742,0.102120141,0.070338983,0.006506872,0.068731343,0.100344176,0.097745341,0.319489559,0,0.097539543,0.180717054,0.108453208,0.000157878,0.094261174,0.008104253,0.048884298,0.056805947,0.038118914,0.007028424,0,0.00400314,0,0.000131891,0.00166021,0.002365398,0.001381488,0.002824584,0.019394801,0.009314141,0.005271318,0.00051261,0.001885268,0.000136277,0.001685338,0,0.009348054,0,0,0.002225472,0.015310828,0.000421129,0,0.000197472,0.004592628,9.68E-05,0,0.002244061,0.002081107,0.000586467,0.002358722,0.01486575,0.012464387,0.004607853,0.000280007,0.002419177,0,0.000989399,0.000296883,0.010043974,0,9.91E-05,0.001137786,0.013132884,0,0.000493236,0,0,0
4,Cyanobacteria/Chloroplast,0,0.004327443,0.055666471,0.000510048,0,0,9.94E-05,0.000160681,0.000477718,0,3.60E-05,0.000123701,0.000290782,0,0.000323415,0,7.83E-05,0.000867804,0.000407136,0,0,0.000254534,0.000616259,0,0.0061775,0.055366269,0.000457914,0,0,0,0,0.001925503,0,0,0.000130327,0,0,0,0,0,0.000473634,0,0,0,0.000512689,0.00051792,0.000103359,0.000471921,0,0,0,0,0,0,0,0.000101543,0,0.000155039,0,0,0,0.000842669,0,0,0.000892061,0,0,0,0,0.000109649,0.000296209,0.000119289,0,0,0,0,0,0,0,0,0,0,0,0,0.000282686,0,5.00E-05,0.000671592,0,0,0,0,0,0,0,0
5,Firmicutes,0.333333333,0.18451737,0.228655314,0.268489238,0.430656934,0.273519919,0.138582364,0.281674299,0.476489456,0.429186603,0.293986397,0.413780307,0.297857904,0.208494208,0.454721863,0.430605578,0.379885643,0.469771478,0.167628988,0.538461538,0.20856106,0.233534839,0.307512995,0.324615385,0.177637449,0.228201951,0.265007077,0.452438533,0.268167731,0.140282686,0.272316384,0.505212137,0.424626866,0.295603277,0.400755897,0.294663573,0.215876965,0.454964851,0.426518088,0.367383223,0.451847174,0.16171563,0.086423755,0.209421488,0.220353755,0.30557282,0.326098191,0.356772062,0.442543171,0.372581174,0.343840675,0.513558384,0.276469926,0.34300375,0.293561897,0.269902518,0.177815411,0.169922481,0.458171007,0.285079451,0.144589806,0.401953009,0.39243303,0.387299541,0.537243533,0.746953246,0.242322121,0.330935252,0.324870653,0.395175439,0.372432859,0.369080282,0.629608128,0.342992222,0.505687534,0.396422746,0.337145371,0.327174447,0.232547479,0.138176638,0.200921571,0.457252193,0.290851111,0.159363,0.335830389,0.378921326,0.386568059,0.561450638,0.702566135,0.329389009,0.355797477,0.528640777,0.405651071,0.307692308,0.421078828,0.439443693
6,Fusobacteria,0,0.030412309,0.028185555,0.056819341,0.009489051,0.116190568,0.086489711,0.058970033,0.001706135,0.047368421,0.100838522,0.07718951,0.046428225,0.089354661,0.050129366,0.012731385,0.086081303,0.015475846,0.151861722,0,0.09890254,0.021953548,0.034564064,0.026442308,0.028279223,0.030974137,0.054117059,0.016324063,0.116184935,0.080742049,0.059322034,0.005444526,0.04761194,0.094478647,0.081324124,0.051508121,0.096799729,0.054920914,0.013404393,0.093179247,0.011998737,0.160676186,0.007131743,0.099545455,0.020917713,0.041088323,0.028630491,0,0.003532182,0.001311906,0,0.000553403,0,0,9.74E-05,0.000101543,0,0.211162791,0.006663933,0.041341234,0.000136277,0.004709031,0.000552334,0.00145056,0.000223015,0.000110791,0.000572264,0.000737871,0.003729996,0.001425439,0.000197472,0.003876894,9.68E-05,0,0.000773814,5.62E-05,7.33E-05,9.83E-05,0,0,0.107228569,0.008026881,0.037717176,0.000225887,0.004664311,0.000593765,0.00129922,0.000268637,0,0.002048015,0.000518403,0.002815534,0.000704622,0,0.020033597,0.021054665
7,Lentisphaerae,0,0,0,0,0,0,0,0,0.001774381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000331983,7.46E-05,0,0,0,0,0,0,0,0,0,0,0,0,6.91E-05,0,0.001258455,0.000470958,0.000655953,0.000527565,0.000774765,0.000506871,0.000394711,0,0.001726239,0,0,0,0,0,0.000842669,0,0.001531147,0,0.000886328,0.000890189,0.002029146,0.00096258,0.000438596,0.000691153,0.000417512,0.00135462,0.000457526,0.000773814,0.000674954,0.000293234,0,0.002226588,0,0,0,0,0,0.001130742,0,0.002448531,0.000671592,0.00069355,0.000341336,0.00155521,0.000970874,0.000704622,0,0,0
8,Proteobacteria,0.133333333,0.297752134,0.311685261,0.242272774,0.104379562,0.20964401,0.135699374,0.286896441,0.01323961,0.163038278,0.118328715,0.109599208,0.147426577,0.372127229,0.117723157,0.064326996,0.106211326,0.294619612,0.274150566,0.307692308,0.267631498,0.358892778,0.265607417,0.09375,0.293431258,0.31283878,0.243110482,0.085449416,0.220352919,0.124028269,0.288700565,0.011287431,0.157462687,0.117843812,0.115339502,0.13712297,0.361528893,0.116871705,0.06879845,0.110635203,0.326649826,0.264347065,0.533259855,0.268471074,0.377134068,0.2530212,0.093643411,0.007865345,0.036970173,0.03542145,0.017277763,0.020586608,0.035593602,0.090783501,0.020064284,0.005381803,0.012701101,0.014263566,0.014148042,0.016967412,0.005587354,0.014027957,0.025683513,0.014425014,0.018733274,0.023709284,0.018630381,0.017339974,0.019672723,0.011403509,0.006319115,0.041095073,0.012191582,0.01860607,0.021279889,0.047752967,0.079319698,0.023292383,0.0043222,0.018162393,0.015455505,0.015120403,0.010556411,0.003614186,0.01385159,0.027313211,0.017689386,0.026729349,0.017933221,0.016042781,0.013651287,0.017281553,0.009371477,0.076923077,0.251477633,0.221170562
9,Spirochaetes,0,0.000480827,0.000469759,0.003162297,0.000364964,0.001734188,0.010339,0.000562385,0.002115608,0.000837321,0.000935689,0.000494805,9.69E-05,0,0,0.000167518,0.005482886,0,0.000185062,0,0.000437235,0.001399936,0.003509994,9.62E-05,0.000686389,0.000464612,0.002913996,0.000806127,0.001328189,0.010777385,0.001412429,0.001726313,0.001044776,0.001308837,0.000390981,0,0,0,0.000322997,0.004848877,0,0.000273538,0.002917531,0.000578512,0.001230454,0.003556384,0,0,0,0.000327976,0,0.001328168,0.000168957,0.000197355,0,0,0,0,0.00102522,0,0,0.000297413,0,0.003062293,0.003122212,0.000553955,0.003242831,0.001106807,6.02E-05,0.003399123,0.000296209,0,9.68E-05,0,0.001315484,0.000224985,0.001026318,9.83E-05,6.55E-05,7.12E-05,0,0.000840022,0.000109963,0,0.000141343,9.90E-05,0.003947631,0.002955003,0.000594471,0.003527136,0.000777605,0.00038835,0.002607103,0,0.020344677,0.021634151
10,SR1,0,0.00036062,0.003405755,0.013873304,0,0.004190953,0.092852172,0.000964088,0,0,0.004678447,0.005690252,0,4.60E-05,0,0,0.00101825,0,0.125916056,0,0.00550916,6.36E-05,0.003349231,0,0.001304139,0.002787672,0.014486721,0,0.005059769,0.099646643,0.003389831,0,0,0.004653643,0.004822103,0,0,0,0,0.000969775,0.000157878,0.142458559,0.001685685,0.005289256,0,0.004177888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000148706,0,8.06E-05,0,0,0,0,6.02E-05,0.000109649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000197922,0,0,0,0,0,0,0,0.076923077,0,0
11,Synergistetes,0,0,0.000587199,0.002856268,0,0.000578063,0.00258475,0.000803406,0,0.003110048,0.000359881,0.000989609,9.69E-05,0,0,0,0.00281977,0,0.000814272,0,0.000306064,0.0001909,0.000214351,0.00125,0.000274556,0.000464612,0.001581883,0.000201532,0.001264942,0.001766784,0.001129944,0.000663967,0.002761194,0.000436279,0.000521308,0.000232019,0,0.000219684,0.000161499,0.005010506,0,0.000820614,0.000194502,8.26E-05,0.000102538,0.000310752,0.001447028,0.000157307,0.000156986,0.000163988,0,0.000221361,0,0,0.000681796,0,0,0,0.000410088,0,0,0.000148706,0,0.00072528,0.000669045,0,0.00038151,0.000184468,6.02E-05,0,0.000296209,5.96E-05,9.68E-05,0,0,0,0,0.000786241,0,0,0,0.000373343,0,0,0.000141343,0,0.00084949,0.00080591,0,0.000227557,0.000259202,0,0,0,0,0
12,Tenericutes,0,0.000721241,0,0.001122105,0.000364964,0.001926875,0,0.001526472,0,0.001315789,0.000215928,0.003834735,0.001453911,0,0.000646831,0.00469051,0.013785541,0,0.012325117,0,0.000830746,0,0,0.001057692,0.000205917,0,0.001082341,0,0.001517931,0.000176678,0.001412429,0,0.000447761,0.000242377,0.004170468,0.001856148,0,0.000219684,0.004683463,0.011960562,0,0.012035669,0.00129668,0.000206612,0,0,0.001033592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.64E-05,0,0,0,0,0
13,Unclassified,0,0.000480827,0.000352319,0.002244211,0,0.003950094,0.003081817,0.00249056,0.000477718,0.012799043,7.20E-05,0.001484414,0.000484637,4.60E-05,0,8.38E-05,0.016996945,0.000867804,0.003405137,0.076923077,0.001705216,0.00146357,5.36E-05,0.000769231,0.000823667,0,0.00278911,0,0.003794826,0.002473498,0.004519774,0.002257486,0.015447761,0.000339328,0.001694253,0.002552204,0.000150778,0,0,0.017455956,0.005999368,0.00454073,0.001037344,0.001528926,0.001640605,0.000138112,0.00124031,0.000157307,0,0.000327976,0.000131891,0.000221361,0.000281595,0.000394711,0.000584397,0.00030463,0,0.000155039,0.001640353,0,0.000272554,0.00039655,0.000138083,0.007816907,0.000223015,0.000221582,0.000826604,0.003135953,0.000842257,0.000548246,0.000394945,5.96E-05,0.000483793,0,0.000154763,0.001518646,0.000513159,0.000687961,0.000261952,7.12E-05,9.60E-05,0.001306702,0,0,0.000141343,0.000296883,0.005796522,0.000537273,9.91E-05,0.000455114,0.00475203,0.001165049,0.000352311,0,0,0
