"","X","Aging_16S_negative_CTRL_S48_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_100_S51_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_101_S54_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_102_S55_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_103_S69_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_104_S70_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_105_S82_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_106_S83_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_107_S85_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_108_S86_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_109_S87_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_200_S49_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_201_S50_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_202_S52_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_203_S53_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_204_S56_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_205_S65_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_206_S66_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_207_S71_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_208_S72_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_209_S84_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_300_S67_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_301_S68_L001.clean.fasta","Aging_16S_saliva_rep1_14_194J_302_S81_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_100_S59_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_101_S62_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_102_S63_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_103_S77_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_104_S78_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_105_S89_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_106_S90_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_107_S92_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_108_S93_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_109_S94_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_200_S57_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_201_S58_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_202_S60_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_203_S61_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_204_S64_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_205_S73_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_206_S74_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_207_S79_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_208_S80_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_209_S91_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_300_S75_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_301_S76_L001.clean.fasta","Aging_16S_saliva_rep2_14_194J_302_S88_L001.clean.fasta","Aging_16S_stool1_14_194J_100_S5_L001.clean.fasta","Aging_16S_stool1_14_194J_101_S11_L001.clean.fasta","Aging_16S_stool1_14_194J_102_S13_L001.clean.fasta","Aging_16S_stool1_14_194J_103_S25_L001.clean.fasta","Aging_16S_stool1_14_194J_104_S27_L001.clean.fasta","Aging_16S_stool1_14_194J_105_S35_L001.clean.fasta","Aging_16S_stool1_14_194J_106_S37_L001.clean.fasta","Aging_16S_stool1_14_194J_107_S41_L001.clean.fasta","Aging_16S_stool1_14_194J_108_S43_L001.clean.fasta","Aging_16S_stool1_14_194J_109_S45_L001.clean.fasta","Aging_16S_stool1_14_194J_200_S1_L001.clean.fasta","Aging_16S_stool1_14_194J_201_S3_L001.clean.fasta","Aging_16S_stool1_14_194J_202_S7_L001.clean.fasta","Aging_16S_stool1_14_194J_203_S9_L001.clean.fasta","Aging_16S_stool1_14_194J_204_S15_L001.clean.fasta","Aging_16S_stool1_14_194J_205_S17_L001.clean.fasta","Aging_16S_stool1_14_194J_206_S19_L001.clean.fasta","Aging_16S_stool1_14_194J_207_S29_L001.clean.fasta","Aging_16S_stool1_14_194J_208_S31_L001.clean.fasta","Aging_16S_stool1_14_194J_209_S39_L001.clean.fasta","Aging_16S_stool1_14_194J_300_S21_L001.clean.fasta","Aging_16S_stool1_14_194J_301_S23_L001.clean.fasta","Aging_16S_stool1_14_194J_302_S33_L001.clean.fasta","Aging_16S_stool2_14_194J_100_S6_L001.clean.fasta","Aging_16S_stool2_14_194J_101_S12_L001.clean.fasta","Aging_16S_stool2_14_194J_102_S14_L001.clean.fasta","Aging_16S_stool2_14_194J_103_S26_L001.clean.fasta","Aging_16S_stool2_14_194J_104_S28_L001.clean.fasta","Aging_16S_stool2_14_194J_105_S36_L001.clean.fasta","Aging_16S_stool2_14_194J_106_S38_L001.clean.fasta","Aging_16S_stool2_14_194J_107_S42_L001.clean.fasta","Aging_16S_stool2_14_194J_108_S44_L001.clean.fasta","Aging_16S_stool2_14_194J_109_S46_L001.clean.fasta","Aging_16S_stool2_14_194J_200_S2_L001.clean.fasta","Aging_16S_stool2_14_194J_201_S4_L001.clean.fasta","Aging_16S_stool2_14_194J_202_S8_L001.clean.fasta","Aging_16S_stool2_14_194J_203_S10_L001.clean.fasta","Aging_16S_stool2_14_194J_204_S16_L001.clean.fasta","Aging_16S_stool2_14_194J_205_S18_L001.clean.fasta","Aging_16S_stool2_14_194J_206_S20_L001.clean.fasta","Aging_16S_stool2_14_194J_207_S30_L001.clean.fasta","Aging_16S_stool2_14_194J_208_S32_L001.clean.fasta","Aging_16S_stool2_14_194J_209_S40_L001.clean.fasta","Aging_16S_stool2_14_194J_300_S22_L001.clean.fasta","Aging_16S_stool2_14_194J_301_S24_L001.clean.fasta","Aging_16S_stool2_14_194J_302_S34_L001.clean.fasta","Aging_16S_tongue_dorsum_sample_as_negative_CTRL_S47_L001.clean.fasta","Diaz_16S_Mock_community_Pool1_S95_L001.clean.fasta","Diaz_16S_Mock_community_Pool2_S96_L001.clean.fasta","domain","phylum","class","order","family","genus"
"1","OTU_1",0,0.17249669431422,0.051556077510276,0.0982352341120065,0.0664233576642336,0.0605038778361193,0.00934486529476091,0.0702980637904716,6.82454104961441e-05,0.10322966507177,0.0316334976787706,0.024987629886195,0.136086071532422,0.0505148005148005,0.0109961190168176,0.0475751738001508,0.0308608130336023,0.00997975122938964,0.0255385298689762,0.115384615384615,0.195837523501377,0.0526885141584473,0.213868495793366,0.0436538461538462,0.174205504839042,0.04839708843116,0.0984930480392973,0.0532043530834341,0.0621086585288723,0.00618374558303887,0.0644067796610169,0,0.0986567164179104,0.0322846478258762,0.0222859377036361,0.125986078886311,0.050548456406197,0.00966608084358524,0.0508720930232558,0.0319217714562793,0.00994632143984844,0.0248919525138137,0.471473029045643,0.195371900826446,0.0556780312740323,0.203231821006837,0.0436175710594315,0,0,0,0,0,0,0,0,0.000101543460601137,0,0.000155038759689922,0,0.000134661998384056,0,0,0.000138083402375035,0.000161173341929245,0,0,0.000127169835315063,0,0.000300806160510167,0,0,0.000357867112012406,0,0,0.000154762825969202,0.000224984532313403,0,0,0.000261951538965291,0,0,9.33358222885944e-05,0.000219925225423356,0,0.000141342756183746,0,0.000699580251848891,0.000134318334452653,0,0,0.000259201658890617,9.70873786407767e-05,0,0.0769230769230769,0.000684377527530641,0.00077264825188333,"Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Campylobacteraceae","Campylobacter"
"2","OTU_10",0,0.000120206755619666,0,0,0,0,9.94134605825629e-05,0.000160681288663935,0.00136490820992288,0.000239234449760766,0.000539820779501206,0,0.000193854802752738,0,0,0.000251277326409247,0.000234980809900525,0.00173560890945907,0.000555185431934266,0,0,0,0.00021435078505975,9.61538461538462e-05,0,0,0,0,0,0,0.000282485875706215,0.00458136909899741,7.46268656716418e-05,0.000630180813418004,0,0.000232018561484919,3.76945983640544e-05,0,0.000322997416020672,8.08146112817197e-05,0.00126302494474266,0.000164122763827343,0,4.13223140495868e-05,0,6.90560044195843e-05,0,0.176812962089036,0.000863422291993721,0.000163988192850115,0.108150883671854,0.112119535141118,0.00382969137193061,0.284783895796329,0.00379857796824778,0.00375710804224208,0.00169348010160881,0.0103875968992248,0.000410088168956326,0.000538647993536224,0.000136276914690651,0.00277585010409438,0.164457332228666,0.0512531227334999,0.000223015165031222,0.00110791048083315,0.0122718891079036,0.024349750968456,0,0.000109649122807018,0.189474723538705,0.00137182392938089,0.00019351717464925,0.108891261247522,0.0974231989476128,0.00208110692389898,0.279744886738509,0.00285012285012285,0.00478061558611657,0.00313390313390313,0.0328309494096189,0.000560014933731566,0.000659775676270068,0.000112943302462164,0.000706713780918728,0.186244433448788,0.0470217869278433,0.000134318334452653,0.000792628554443674,0.00944362271020594,0.0296353896664939,9.70873786407767e-05,7.04622322435175e-05,0,0,0,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"3","OTU_100",0,0,0,0,0,0,0,0,6.82454104961441e-05,0,0,0,0,0,0,0,0,0.000289268151576511,0,0,0,0,0,0,6.86388907955247e-05,0,0,0,0,0,0,0.00212469291547706,0,0,0,0,0,0,0,0,0,0.000109415175884895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0104762672254009,0,0,0.0148152858142049,0.0230584762958864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012092744353388,0,0,0.00910228694959609,0.0181441161223432,0,0,0,0,0,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Paraprevotella"
"4","OTU_101",0,0.00168289457867532,0.000117439812096301,0.00938488217892482,0.000364963503649635,0.00414278144419288,0.00596480763495377,0.00144613159797542,0,0.00741626794258373,0.0023752114298053,0.0037110341415141,0.000678491809634584,9.19286633572348e-05,0,0.000167518217606165,0.00501292394454453,0.000433902227364767,0.0149159819379673,0,0.00384766735166805,6.36334712058543e-05,0.000375113873854563,0.000192307692307692,0.00295147230420756,0.000232306024469568,0.00994921322121389,0.000806126561870214,0.00423755613180697,0.00547703180212014,0.000564971751412429,0,0.00686567164179105,0.00169664065151001,0.00664668317476867,0.000464037122969838,0,0,0.000161498708010336,0.00395991595280427,0,0.0139504349253241,0.0016856846473029,0.00421487603305785,0.000102537810817739,0.000517920033146882,0.000310077519379845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Campylobacteraceae","Campylobacter"
"5","OTU_102",0,0.000601033778098329,0.000469759248385203,0.00255023972253392,0.000364963503649635,0.012717375596127,0.00129237498757332,0.00168715353097132,0,0.00382775119617225,0.000395868571634217,0.00432953983176645,0.000969274013763691,0.000689464975179261,0,0.0028478096993048,0.0155087334534346,0.000578536303153023,0.0218743060182101,0,0.000437234926325915,0.00235443843461661,0.000857403140239001,0.00653846153846154,0.000137277781591049,0.000851788756388416,0.00208142536008659,0.000201531640467553,0.0123331857567516,0.0019434628975265,0.00254237288135593,0,0.00395522388059702,0.000387803577488002,0.00417046787436466,0.000464037122969838,0.000791586565645143,0.00219683655536028,0.00371447028423773,0.0185065459835138,0.000157878118092832,0.0275726243229936,0,0.000661157024793388,0.00220456293258139,0.000863200055244804,0.0069250645994832,0,0,0,0,0,0,0,9.73994350832765e-05,0,0,0.000310077519379845,0,0.000134661998384056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000287990784294903,0,0,0,0,9.8960910440376e-05,0,0,0,0,0,0.000194174757281553,0,0,0.0139986312449449,0.0150666409117249,"Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium"
"6","OTU_103",0,0.00432744320230797,0.0556664709336465,0.000510047944506784,0,0,9.94134605825629e-05,0.000160681288663935,0.000477717873473009,0,3.5988051966747e-05,0.00012370113805047,0.000290782204129107,0,0.000323415265200517,0,7.83269366335083e-05,0.000867804454729534,0.000407135983418462,0,0,0.000254533884823417,0.000616258507046782,0,0.00617750017159723,0.055366269165247,0.000457913579219049,0,0,0,0,0.00192550295465109,0,0,0.000130327121073895,0,0,0,0,0,0.000473634354278497,0,0,0,0.000512689054088695,0.000517920033146882,0.000103359173126615,0.000314613811546327,0,0,0,0,0,0,0,0.000101543460601137,0,0.000155038759689922,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000119289037337469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Cyanobacteria/Chloroplast","Chloroplast","Unclassified","Chloroplast","Streptophyta"
"7","OTU_104",0,0,0,0,0,0,0,0,0.00211560772538047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00385100590930217,0.000149253731343284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0179309467794239,0.000184467810367091,0,0.00285087719298246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.99700179892065e-05,0,0,0.0194561383547616,0,0,0.00190248027057497,0,0,0,"Bacteria","Firmicutes","Clostridia","Clostridiales","Unclassified","Unclassified"
"8","OTU_105",0,0,0,0,0,0,0,0,0.00163788985190746,0,7.19761039334941e-05,0,0.000193854802752738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000193901788744001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000157306905773163,0.0102040816326531,0.00147589373565103,0.00171458718016355,0.00287769784172662,0.000168956972291057,0.000986777185711466,0,0,0.00211685012701101,0.000310077519379845,0.00174287471806438,0.00390519795313762,0.000408830744071954,0.00133835630018836,0.00690417011875173,0.000564106696752357,0.000669045495093666,0.0052071792599158,0.00114452851783557,0.000922339051835455,0.00150403080255084,0.000767543859649123,0.000789889415481833,0.00512942860551115,0.002322206095791,0.00137257892328809,0.00332740075833785,0.00230609145621239,0.00036654204237226,0,0,0.00249287749287749,0.000767975424786407,0.00196005226806048,0.00285902793050363,0.000338829907386492,0.000848056537102474,0.00514596734289955,0.000649610233859684,0.000402955003357958,0.00277419994055286,0.00204801456365912,0.000604803870744773,0.00631067961165049,0.000140924464487035,0,0,0,"Bacteria","Firmicutes","Clostridia","Clostridiales","Unclassified","Unclassified"
"9","OTU_106",0,0,0,0,0,0,0,0,0.000614208694465297,0.000119617224880383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000161498708010336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0265040751570958,0.0274290129418582,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Unclassified"
"10","OTU_107",0,0.000240413511239332,0,0,0,0,0,0,0.000409472462976865,0,0,0,0.000581564408258215,0,0,0,7.83269366335083e-05,0,0,0,0,0,0,0,0.000137277781591049,0,0,0,0,0,0,0,0,0,0,0.00116009280742459,0,0,0,8.08146112817197e-05,0,0,0,0,0,0,0.000103359173126615,0,0.00463108320251177,0.0150869137422106,0,0.0118428334255672,0,0,0,0,0,0,0,0,0,0.00659264399722415,0.0035901684617509,0.00273994681279716,0,0.000664746288499889,0.00375151014179437,0.00295148496587345,0.000120322464204067,0,0,0.003817249194799,0.00328979196903725,0,0.0123036446645516,0,0,0,0,0,0,0,0,0,0.00226148409893993,0.00188025729836714,0.00349790125924445,0,0.00108986426236005,0.0053475935828877,0.00414722654224987,0,0,0,0,0,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Corynebacteriaceae","Corynebacterium"
